sp_name,view_name,target_schema,target_table,layer,load_type,frequency,execution_order,depends_on,source_objects,is_active
ForecastHistory_ENH.ForecastDemandMonthly,ForecastHistory_ENH.vw_ForecastDemandMonthly,ForecastHistory_ENH,ForecastDemandMonthly,DomainSilver,overwrite,daily,1,,"[""Staging_WRK.DemandForecastSnapshotDailyEdw"",""ReferenceMaster_ENH.ForecastCycle"",""ReferenceMaster_ENH.Calendar""]",True
ForecastHistory_ENH.NaiveForecastMonthly,ForecastHistory_ENH.vw_NaiveForecastMonthly,ForecastHistory_ENH,NaiveForecastMonthly,DomainSilver,overwrite,daily,1,"[""silver.slv_actual_demand_monthly""]","[""SalesHistory_ENH.ActualDemandMonthly"",""ReferenceMaster_ENH.Calendar""]",True
OpenOrderHistory_ENH.OpenOrderLineLevel,OpenOrderHistory_ENH.vw_OpenOrderLineLevel,OpenOrderHistory_ENH,OpenOrderLineLevel,DomainSilver,overwrite,daily,1,,"[""Wholesale_Codis.Codatan"",""Wholesale_Codis.Comast"",""Wholesale_Codis.Extord"",""Wholesale_Codis.Extorit"",""ReferenceMaster_ENH.ItemMaster"",""ReferenceMaster_ENH.OrderType""]",True
OpenOrderHistory_ENH.OpenOrderMonthly,OpenOrderHistory_ENH.vw_OpenOrderMonthly,OpenOrderHistory_ENH,OpenOrderMonthly,DomainSilver,overwrite,daily,1,"[""silver.slv_open_order_line_level""]","[""OpenOrderHistory_ENH.OpenOrderLineLevel"",""ReferenceMaster_ENH.Calendar"",""ReferenceMaster_ENH.CustomerAccountGroup""]",True
SalesHistory_ENH.ActualDemandMonthly,SalesHistory_ENH.vw_ActualDemandMonthly,SalesHistory_ENH,ActualDemandMonthly,DomainSilver,overwrite,daily,1,"[""silver.slv_invoice_detail_line_level"",""silver.slv_open_order_line_level""]","[""SalesHistory_ENH.InvoiceDetailLineLevel"",""OpenOrderHistory_ENH.OpenOrderLineLevel"",""ReferenceMaster_ENH.Calendar"",""ReferenceMaster_ENH.CustomerAccountGroup""]",True
SalesHistory_ENH.ActualDemandWeekly,SalesHistory_ENH.vw_ActualDemandWeekly,SalesHistory_ENH,ActualDemandWeekly,DomainSilver,overwrite,daily,1,"[""silver.slv_invoice_detail_line_level"",""silver.slv_open_order_line_level""]","[""SalesHistory_ENH.InvoiceDetailLineLevel"",""OpenOrderHistory_ENH.OpenOrderLineLevel"",""ReferenceMaster_ENH.Calendar"",""ReferenceMaster_ENH.CustomerAccountGroup""]",True
SalesHistory_ENH.InvoiceDetailLineLevel,SalesHistory_ENH.vw_InvoiceDetailLineLevel,SalesHistory_ENH,InvoiceDetailLineLevel,DomainSilver,overwrite,daily,1,,"[""Staging_WRK.InvoiceDetailEdw"",""Staging_WRK.InvoiceHeaderEdw"",""ReferenceMaster_ENH.CustomerAccountGroup""]",True
SalesHistory_ENH.InvoiceWeekly,SalesHistory_ENH.vw_InvoiceWeekly,SalesHistory_ENH,InvoiceWeekly,DomainSilver,overwrite,daily,1,"[""silver.slv_invoice_detail_line_level""]","[""SalesHistory_ENH.InvoiceDetailLineLevel"",""ReferenceMaster_ENH.Calendar""]",True
ForecastAccuracy_DW.DimCalendar,ForecastAccuracy_DW.vw_DimCalendar,ForecastAccuracy_DW,DimCalendar,Gold,overwrite,daily,1,,"[""ReferenceMaster_ENH.Calendar""]",True
ForecastAccuracy_DW.DimCustomerGrouping,ForecastAccuracy_DW.vw_DimCustomerGrouping,ForecastAccuracy_DW,DimCustomerGrouping,Gold,overwrite,daily,1,,"[""ReferenceMaster_ENH.CustomerGrouping""]",True
ForecastAccuracy_DW.DimForecastHorizon,ForecastAccuracy_DW.vw_DimForecastHorizon,ForecastAccuracy_DW,DimForecastHorizon,Gold,overwrite,daily,1,,"[""ReferenceMaster_ENH.ForecastHorizon""]",True
ForecastAccuracy_DW.DimProduct,ForecastAccuracy_DW.vw_DimProduct,ForecastAccuracy_DW,DimProduct,Gold,overwrite,daily,1,,"[""Staging_WRK.ProductEdw""]",True
